f1,f2
3.1918307506869334,4.272064843466657
4.211995008620632,2.1103722305515245
4.486591358719588,6.962639215536646
2.907927496863551,4.980328193959169
2.662138996045571,4.675518732393568
4.100330601044111,4.56367904551403
5.32971620373367,4.391697902325754
3.9418530743804867,3.7616320257260467
4.9684906105714655,4.240952151620724
3.5043821506902355,3.485746032155314
3.006168438078651,3.83529898267478
1.7982538898404594,4.176193637263621
3.8864976467790515,6.077868306314308
5.442610010953132,3.9561575405961955
3.718490929045604,3.3211512464426387
4.478475068532801,4.6619880101505755
4.508430138073139,5.216676595609668
3.9802127712001347,3.7397281358148597
3.8110351274418055,2.5194201109073395
4.170443364136192,3.716611005257921
3.7700799205748052,3.4132760037192886
4.257513613842993,4.348292590312671
5.006862730219835,3.350516956561316
4.04150524000783,3.3550051042404005
4.345980501844448,2.920054288868456
3.3771307152347356,4.0839964317718
4.2244169971207635,4.615841609618899
3.0170147902212947,5.157283876198815
4.022473620960806,5.523186666766904
3.4695979118226403,5.215772718090743
3.2425437132956554,1.9214588317234007
5.691911168976762,3.487577401247621
3.7343920813846627,3.0371640900272254
5.3602031423848775,3.9471596701888236
5.865594235236151,3.35317276457466
4.346821277602403,0.3669089018510161
4.409690317443605,3.7580304214693885
2.832556922058951,2.2602553820867977
4.658925854292129,3.1390556457771246
3.9840741608851165,3.504712326253143
3.3145450863517416,2.213636568976118
3.8087934645475428,3.0653177215037366
3.437640579308273,4.384290623352343
4.417960399087654,4.858334662466677
3.4885108153185627,5.121966911290303
5.174346987860673,2.8642007357193844
3.8744691707978127,2.7438673292942735
3.6231238905700653,2.7849497659239155
3.2135521405624066,5.852333640618282
5.0743188586926316,5.399465992579529
